,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
3610,Mushkin 99[2/7/4]198F 8GB,26,12.6,8.7,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D198F+8GB&id=6786
3611,Mushkin 99[2/7/4]199[F/T] 8GB,34,15.9,12.1,$89.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D199%5BF%2FT%5D+8GB&id=8227
3612,Mushkin 99[2/7/4]199F 8GB,27,12.7,10.5,$82.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D199F+8GB&id=8694
3613,Mushkin 99[2/7/4]200[F/T] 8GB,46,10.5,8.0,$101.51*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D200%5BF%2FT%5D+8GB&id=9564
3614,Mushkin 99[2/7/4]200F 8GB,26,13.7,10.3,$86.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D200F+8GB&id=7104
3617,Mushkin 99[2/7/4]204F 4GB,25,13.4,11.5,$36.97*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D204F+4GB&id=7101
3618,Mushkin 99[2/7/4]205[F/T] 8GB,19,19.3,13.8,$88.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D205%5BF%2FT%5D+8GB&id=9318
3619,Mushkin 99[2/7/4]205F 8GB,26,13.5,11.3,$229.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D205F+8GB&id=7093
3622,Mushkin 99[2/7/4]209F 8GB,28,13.4,10.3,$110.04*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+99%5B2%2F7%2F4%5D209F+8GB&id=7488
3623,Mushkin MB[A/B]4U240FFFF16G 16GB,30,16.3,13.8,$239.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+MB%5BA%2FB%5D4U240FFFF16G+16GB&id=9484
3624,Mushkin MES4S213FF16G28 16GB,36,13.8,11.2,$58.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+MES4S213FF16G28+16GB&id=9674
3631,Mushkin MR[A/B]4U266GHHF8G 8GB,29,17.4,12.8,$281.39*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+MR%5BA%2FB%5D4U266GHHF8G+8GB&id=10615
3633,Mushkin MR[A/B]4U300JJJM16G 16GB,28,17.3,14.5,$214.99*,https://www.memorybenchmark.net/ram.php?ram=Mushkin+MR%5BA%2FB%5D4U300JJJM16G+16GB&id=9763
3659,Nanya Technology M471A5143EB1-CRC 4GB,79,14.7,7.9,$31.00*,https://www.memorybenchmark.net/ram.php?ram=Nanya+Technology+M471A5143EB1-CRC+4GB&id=13999
3739,Patriot Memory (PDP Systems) PSD416G21332 16GB,31,16.3,12.1,$239.95*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD416G21332+16GB&id=10019
3741,Patriot Memory (PDP Systems) PSD416G24002 16GB,28,16.2,12.6,$179.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD416G24002+16GB&id=9835
3743,Patriot Memory (PDP Systems) PSD416G26662 16GB,32,16.6,14.1,$59.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD416G26662+16GB&id=12490
3752,Patriot Memory (PDP Systems) PSD44G213381 4GB,34,16.5,11.6,$58.47*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD44G213381+4GB&id=7587
3754,Patriot Memory (PDP Systems) PSD44G240041 4GB,68,15.6,7.0,$39.89*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD44G240041+4GB&id=10313
3755,Patriot Memory (PDP Systems) PSD44G240081 4GB,39,14.3,11.0,$75.88*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD44G240081+4GB&id=8191
3757,Patriot Memory (PDP Systems) PSD44G240082 4GB,34,15.4,12.2,$18.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD44G240082+4GB&id=11399
3761,Patriot Memory (PDP Systems) PSD48G21332 8GB,27,13.3,9.8,$64.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G21332+8GB&id=6702
3763,Patriot Memory (PDP Systems) PSD48G213381 8GB,32,14.9,11.0,$108.35*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G213381+8GB&id=9476
3765,Patriot Memory (PDP Systems) PSD48G213382 8GB,25,16.9,12.2,$105.21*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G213382+8GB&id=10410
3766,Patriot Memory (PDP Systems) PSD48G24002 8GB,29,17.4,12.6,$59.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G24002+8GB&id=7744
3767,Patriot Memory (PDP Systems) PSD48G240081 8GB,32,15.2,11.0,$35.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G240081+8GB&id=9528
3768,Patriot Memory (PDP Systems) PSD48G240082 8GB,23,17.0,11.5,$109.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G240082+8GB&id=10621
3770,Patriot Memory (PDP Systems) PSD48G266681 8GB,33,15.4,12.9,$34.99*,https://www.memorybenchmark.net/ram.php?ram=Patriot+Memory+%28PDP+Systems%29+PSD48G266681+8GB&id=12298
3794,"PNY Technologies, Inc. 8GBF2X04JEEE36-12-K 8GB",31,17.6,13.2,$83.95*,https://www.memorybenchmark.net/ram.php?ram=PNY+Technologies%2C+Inc.+8GBF2X04JEEE36-12-K+8GB&id=9006
3853,Samsung M378A1G43DB0-CPB 8GB,36,15.9,12.2,$99.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A1G43DB0-CPB+8GB&id=6962
3859,Samsung M378A1K43BB1-CPB 8GB,34,15.7,11.5,$42.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A1K43BB1-CPB+8GB&id=8074
3865,Samsung M378A1K43CB2-CTD 8GB,32,16.5,13.4,$36.94*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A1K43CB2-CTD+8GB&id=11407
3866,Samsung M378A1K43DB2-CTD 8GB,33,16.5,13.6,$57.95*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A1K43DB2-CTD+8GB&id=12828
3875,Samsung M378A2K43BB1-CPB 16GB,32,16.4,13.1,$109.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A2K43BB1-CPB+16GB&id=8042
3876,Samsung M378A2K43BB1-CRC 16GB,30,17.4,12.6,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A2K43BB1-CRC+16GB&id=9728
3878,Samsung M378A2K43CB1-CTD 16GB,36,16.6,14.1,$68.45*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A2K43CB1-CTD+16GB&id=11419
3879,Samsung M378A2K43DB1-CTD 16GB,35,16.7,14.3,$94.95*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A2K43DB1-CTD+16GB&id=13369
3886,Samsung M378A5143DB0-CPB 4GB,36,14.9,11.3,$34.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A5143DB0-CPB+4GB&id=6835
3890,Samsung M378A5244CB0-CRC 4GB,37,15.5,11.6,$21.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A5244CB0-CRC+4GB&id=10037
3891,Samsung M378A5244CB0-CTD 4GB,37,15.9,12.3,$21.37*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A5244CB0-CTD+4GB&id=12226
3895,Samsung M386A4G40DM0-CPB 32GB,56,9.1,7.4,$161.75*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M386A4G40DM0-CPB+32GB&id=7225
3898,Samsung M386A8K40BM1-CRC 64GB,34,10.4,7.5,$329.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M386A8K40BM1-CRC+64GB&id=9950
3902,Samsung M391A1G43DB0-CPB 8GB,31,11.7,6.8,$99.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M391A1G43DB0-CPB+8GB&id=8720
3907,Samsung M391A2K43BB1-CPB 16GB,34,14.9,11.7,$119.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M391A2K43BB1-CPB+16GB&id=8222
3912,Samsung M393A1G40DB0-CPB 8GB,49,10.9,8.6,$114.33*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G40DB0-CPB+8GB&id=6379
3913,Samsung M393A1G40DB1-CRC 8GB,50,10.2,8.0,$62.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G40DB1-CRC+8GB&id=9128
3916,Samsung M393A1G43DB0-CPB 8GB,51,10.4,8.8,$60.27*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G43DB0-CPB+8GB&id=6441
3918,Samsung M393A1G43EB1-CRC 8GB,49,11.0,8.1,$121.83*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1G43EB1-CRC+8GB&id=9624
3919,Samsung M393A1K43BB0-CRC 8GB,48,11.4,8.5,$83.06*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A1K43BB0-CRC+8GB&id=9881
3922,Samsung M393A2G40DB0-CPB 16GB,53,10.3,8.2,$59.75*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40DB0-CPB+16GB&id=6446
3923,Samsung M393A2G40DB1-CRC 16GB,56,9.5,7.4,$169.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40DB1-CRC+16GB&id=8993
3926,Samsung M393A2G40EB1-CRC 16GB,52,9.9,7.7,$175.01*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40EB1-CRC+16GB&id=8965
3927,Samsung M393A2G40EB2-CTD 16GB,44,8.5,5.6,$107.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2G40EB2-CTD+16GB&id=11474
3928,Samsung M393A2K40BB0-CPB 16GB,54,5.3,4.2,$59.98*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K40BB0-CPB+16GB&id=9069
3929,Samsung M393A2K40BB1-CRC 16GB,57,9.0,7.3,$137.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K40BB1-CRC+16GB&id=8802
3930,Samsung M393A2K40BB2-CTD 16GB,58,9.1,6.9,$110.48*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K40BB2-CTD+16GB&id=12741
3934,Samsung M393A2K43BB1-CRC 16GB,52,10.6,8.1,$215.92*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K43BB1-CRC+16GB&id=8931
3936,Samsung M393A2K43BB1-CTD 16GB,47,11.7,8.8,$217.94*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A2K43BB1-CTD+16GB&id=11422
3939,Samsung M393A4K40BB0-CPB 32GB,58,9.2,8.0,$203.52*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB0-CPB+32GB&id=7563
3940,Samsung M393A4K40BB1-CRC 32GB,53,10.5,8.1,$367.95*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB1-CRC+32GB&id=8929
3941,Samsung M393A4K40BB2-CTD 32GB,44,11.7,9.0,$189.18*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40BB2-CTD+32GB&id=13002
3942,Samsung M393A4K40CB1-CRC 32GB,48,11.0,8.2,$242.50*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40CB1-CRC+32GB&id=11896
3943,Samsung M393A4K40CB2-CTD 32GB,47,11.3,8.3,$369.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A4K40CB2-CTD+32GB&id=13382
3944,Samsung M393A5143DB0-CPB 4GB,54,10.3,8.4,$44.40*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M393A5143DB0-CPB+4GB&id=7129
3950,Samsung M471A1G43DB0-CPB 8GB,38,14.3,11.4,$45.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1G43DB0-CPB+8GB&id=7915
3952,Samsung M471A1G43EB1-CRC 8GB,25,14.8,9.3,$37.66*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1G43EB1-CRC+8GB&id=10829
3958,Samsung M471A1K43BB0-CPB 8GB,38,14.1,10.9,$29.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1K43BB0-CPB+8GB&id=8133
3959,Samsung M471A1K43BB1-CRC 8GB,35,15.3,12.1,$38.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1K43BB1-CRC+8GB&id=9495
3961,Samsung M471A1K43CB1-CRC 8GB,36,14.6,11.8,$40.49*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1K43CB1-CRC+8GB&id=9817
3963,Samsung M471A1K43CB1-CTD 8GB,33,16.2,13.1,$35.51*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1K43CB1-CTD+8GB&id=12039
3965,Samsung M471A1K43DB1-CTD 8GB,34,16.2,13.2,$45.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A1K43DB1-CTD+8GB&id=12532
3970,Samsung M471A2K43BB1-CPB 16GB,38,14.5,11.5,$164.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A2K43BB1-CPB+16GB&id=7923
3973,Samsung M471A2K43CB1-CRC 16GB,38,14.3,12.0,$60.00*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A2K43CB1-CRC+16GB&id=9843
3976,Samsung M471A2K43CB1-CTD 16GB,34,16.1,14.1,$30.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A2K43CB1-CTD+16GB&id=12176
3985,Samsung M471A5143DB0-CPB 4GB,38,14.3,11.1,$43.75*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5143DB0-CPB+4GB&id=8028
3986,Samsung M471A5143EB0-CPB 4GB,34,13.8,11.2,$26.77*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5143EB0-CPB+4GB&id=9095
3987,Samsung M471A5143EB1-CRC 4GB,95,15.8,7.3,$46.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5143EB1-CRC+4GB&id=9665
3990,Samsung M471A5244CB0-CRC 4GB,37,14.8,11.3,$23.99*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5244CB0-CRC+4GB&id=9948
3991,Samsung M471A5244CB0-CTD 4GB,36,15.6,11.8,$15.89*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M471A5244CB0-CTD+4GB&id=12227
3998,Samsung M474A2K43BB1-CRC 16GB,34,15.9,13.2,$159.44*,https://www.memorybenchmark.net/ram.php?ram=Samsung+M474A2K43BB1-CRC+16GB&id=10521
4069,Silicon Power Computer & Communications SP008GBLFU266B02 8GB,22,17.9,13.4,$34.00*,https://www.memorybenchmark.net/ram.php?ram=Silicon+Power+Computer+%26+Communications+SP008GBLFU266B02+8GB&id=12934
4240,Super Talent F24EA8GS 8GB,92,11.6,9.7,$88.76*,https://www.memorybenchmark.net/ram.php?ram=Super+Talent+F24EA8GS+8GB&id=11957
4241,Super Talent F24EB8GS 8GB,31,15.9,10.2,$127.34*,https://www.memorybenchmark.net/ram.php?ram=Super+Talent+F24EB8GS+8GB&id=12207
4244,Super Talent F26UB16GH 16GB,29,8.7,6.5,$102.42*,https://www.memorybenchmark.net/ram.php?ram=Super+Talent+F26UB16GH+16GB&id=12827
4296,Thermaltake Technology Co Ltd R009D408GX2-3200C16A 8GB,29,17.8,14.1,$139.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-3200C16A+8GB&id=14163
4297,Thermaltake Technology Co Ltd R009D408GX2-3600C18B 8GB,30,18.4,15.7,$159.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-3600C18B+8GB&id=14430
4298,Thermaltake Technology Co Ltd R009D408GX2-4000C19A 8GB,31,18.0,16.5,$189.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-4000C19A+8GB&id=14819
4299,Thermaltake Technology Co Ltd R009D408GX2-4400C19A 8GB,31,17.8,14.2,$199.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-4400C19A+8GB&id=14440
4300,Thermaltake Technology Co Ltd R009D408GX2-4600C19A 8GB,27,18.7,17.8,$259.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D408GX2-4600C19A+8GB&id=15597
4301,Thermaltake Technology Co Ltd R009D416GX2-3600C18A 16GB,32,19.8,14.9,$259.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R009D416GX2-3600C18A+16GB&id=17784
4303,Thermaltake Technology Co Ltd R017D408GX2-4000C19A 8GB,25,20.2,18.1,$179.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R017D408GX2-4000C19A+8GB&id=15039
4304,Thermaltake Technology Co Ltd R017D408GX2-4400C19A 8GB,27,17.5,16.5,$229.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R017D408GX2-4400C19A+8GB&id=15817
4305,Thermaltake Technology Co Ltd R019D408GX2-3200C16A 8GB,26,18.4,15.8,$119.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R019D408GX2-3200C16A+8GB&id=14468
4306,Thermaltake Technology Co Ltd R019D408GX2-3600C18A 8GB,47,14.8,11.6,$139.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R019D408GX2-3600C18A+8GB&id=14676
4308,Thermaltake Technology Co Ltd R022D408GX2-3200C16A 8GB,32,19.9,14.9,$139.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R022D408GX2-3200C16A+8GB&id=15297
4309,Thermaltake Technology Co Ltd R022D408GX2-3600C18A 8GB,29,18.2,15.9,$169.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R022D408GX2-3600C18A+8GB&id=14412
4310,Thermaltake Technology Co Ltd R022D408GX2-4600C19A 8GB,28,21.6,18.2,$259.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R022D408GX2-4600C19A+8GB&id=15890
4311,Thermaltake Technology Co Ltd R022R432GX2-3600C18A 32GB,31,20.2,17.5,$298.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+R022R432GX2-3600C18A+32GB&id=16061
4312,Thermaltake Technology Co Ltd RA24D408GX2-3200C16A 8GB,31,15.7,13.8,$109.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+RA24D408GX2-3200C16A+8GB&id=17274
4313,Thermaltake Technology Co Ltd RA24D408GX2-3600C18A 8GB,26,17.2,17.1,$139.00,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+RA24D408GX2-3600C18A+8GB&id=15383
4314,Thermaltake Technology Co Ltd RA24D408GX2-4400C19A 8GB,28,20.2,17.9,$189.00*,https://www.memorybenchmark.net/ram.php?ram=Thermaltake+Technology+Co+Ltd+RA24D408GX2-4400C19A+8GB&id=15394
