,Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD),lien
545,Corsair CMH16GX4M2E3200C16 8GB,31,19.5,14.5,$118.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2E3200C16+8GB&id=16046
546,Corsair CMH16GX4M2Z3200C16 8GB,28,21.4,16.0,$179.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3200C16+8GB&id=16267
547,Corsair CMH16GX4M2Z3600C18 8GB,28,21.8,17.3,$127.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH16GX4M2Z3600C18+8GB&id=15994
550,Corsair CMH32GX4M2D3600C18 16GB,34,19.7,15.3,$199.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2D3600C18+16GB&id=16107
551,Corsair CMH32GX4M2E3200C16 16GB,36,19.4,14.2,$191.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2E3200C16+16GB&id=16051
552,Corsair CMH32GX4M2Z3200C16 16GB,31,20.5,16.0,$201.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2Z3200C16+16GB&id=16043
553,Corsair CMH32GX4M2Z3600C18 16GB,35,20.5,16.0,$202.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMH32GX4M2Z3600C18+16GB&id=16163
558,Corsair CMK128GX4M4A2400C16 32GB,29,17.4,13.7,$888.98*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M4A2400C16+32GB&id=14144
562,Corsair CMK128GX4M8A2133C13 16GB,26,15.2,11.0,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8A2133C13+16GB&id=7925
564,Corsair CMK128GX4M8A2666C16 16GB,47,11.9,12.5,$999.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8A2666C16+16GB&id=9035
565,Corsair CMK128GX4M8B3000C16 16GB,40,13.4,11.9,$764.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8B3000C16+16GB&id=9390
566,Corsair CMK128GX4M8B3200C16 16GB,27,14.3,9.9,$949.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK128GX4M8B3200C16+16GB&id=10189
571,Corsair CMK16GX4M1A2400C14 16GB,38,14.5,10.7,$72.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2400C14+16GB&id=9076
572,Corsair CMK16GX4M1A2400C16 16GB,32,16.0,12.0,$71.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2400C16+16GB&id=9919
573,Corsair CMK16GX4M1A2666C16 16GB,32,16.4,12.9,$73.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1A2666C16+16GB&id=9335
574,Corsair CMK16GX4M1B3000C15 16GB,29,17.9,14.9,$81.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1B3000C15+16GB&id=8355
575,Corsair CMK16GX4M1C3000C16 16GB,21,18.4,9.8,$383.96*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1C3000C16+16GB&id=11791
576,Corsair CMK16GX4M1D3000C16 16GB,30,17.9,14.4,$92.98,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M1D3000C16+16GB&id=12166
580,Corsair CMK16GX4M2A2133C13 8GB,33,16.0,11.7,$95.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2133C13+8GB&id=7949
581,Corsair CMK16GX4M2A2400C14 8GB,32,16.6,12.2,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2400C14+8GB&id=7332
582,Corsair CMK16GX4M2A2400C16 8GB,31,16.8,12.4,$89.00,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2400C16+8GB&id=8156
583,Corsair CMK16GX4M2A2666C16 8GB,31,16.9,12.8,$69.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2666C16+8GB&id=7837
585,Corsair CMK16GX4M2A2800C16 8GB,31,17.3,12.8,$122.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2A2800C16+8GB&id=8599
586,Corsair CMK16GX4M2B2800C14 8GB,28,18.1,12.6,$126.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B2800C14+8GB&id=8628
587,Corsair CMK16GX4M2B3000C15 8GB,29,17.9,13.8,$115.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3000C15+8GB&id=7918
588,Corsair CMK16GX4M2B3200C14 8GB,22,18.2,13.9,$174.99*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3200C14+8GB&id=9082
589,Corsair CMK16GX4M2B3200C16 8GB,29,18.6,14.6,$119.00*,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMK16GX4M2B3200C16+8GB&id=7966
